prompt_id,prompt,case,num_timesteps,cfg_interval,cfg_text_scale,seed,elapsed_s,speedup_vs_prompt_baseline,peak_mem_gb,clip_score,clip_delta_vs_prompt_baseline,lpips_to_prompt_baseline,pareto_prompt_clip_latency,image,semantic_coverage,relation_coverage,style_coverage,speedup_vs_baseline,factor_count,relation_count,style_count,fantasy_flag,flashu_component,enable_taylorseer,cfg_schedule
product_camera,"A premium studio product photo of a vintage silver camera on dark stone, soft rim light, sharp reflections, luxury advertising style, highly detailed.",flashu_cache15,15,0.2,4.0,42,97.5834,1.3505,37.8926,0.157758,-0.155633,0.942651,1,/root/autodl-tmp/outputs/idea4_20260425_115208_flashu_bagel/results/product_camera/flashu_cache15.png,0.17559804916381835,0.1649948706229528,,1.3505,5,3,0,0,diffusion_head_cache_proxy,1,None
corgi_ocean,"A joyful corgi surfing a translucent ocean wave at sunrise, dynamic splash, golden light, crisp fur detail, cinematic action photography.",baseline_50_cfg04,50,0.4,4.0,46,131.2357,1.0,0.0,0.3916402757167816,0.0,0.0,0,/root/autodl-tmp/outputs/unipath_multi/corgi_ocean/baseline_50_cfg04.png,0.2572774112224579,0.3054305389523506,,1.0,5,2,0,0,,,
corgi_ocean,"A joyful corgi surfing a translucent ocean wave at sunrise, dynamic splash, golden light, crisp fur detail, cinematic action photography.",fast_15_cfg02,15,0.2,4.0,46,107.7264,1.2182,0.0,0.388236939907074,-0.003403,0.492191880941391,1,/root/autodl-tmp/outputs/unipath_multi/corgi_ocean/fast_15_cfg02.png,0.2538937896490097,0.3037576824426651,,1.2182,5,2,0,0,,,
corgi_ocean,"A joyful corgi surfing a translucent ocean wave at sunrise, dynamic splash, golden light, crisp fur detail, cinematic action photography.",fast_20_cfg04,20,0.4,4.0,46,110.7335,1.1851,0.0,0.3922887146472931,0.000648,0.45958709716796875,1,/root/autodl-tmp/outputs/unipath_multi/corgi_ocean/fast_20_cfg04.png,0.25552935898303986,0.30608463287353516,,1.1851,5,2,0,0,,,
corgi_ocean,"A joyful corgi surfing a translucent ocean wave at sunrise, dynamic splash, golden light, crisp fur detail, cinematic action photography.",flashu_cache15,15,0.2,4.0,42,97.9643,1.3396,37.8927,0.130364,-0.261276,1.135216,0,/root/autodl-tmp/outputs/idea4_20260425_115208_flashu_bagel/results/corgi_ocean/flashu_cache15.png,0.19533524811267852,0.1894056797027588,,1.3396,5,2,0,0,diffusion_head_cache_proxy,1,None
fairy_cosplayer,"A female cosplayer portraying an ethereal fairy or elf, wearing a flowing dress made of delicate fabrics in emerald green and silver, in a magical forest with glowing plants, mystical creatures, serene atmosphere, ultra detailed.",uqp_sched18,18,0.3,4.0,42,41.3057,,,0.372061,0.012621,0.456308,,/root/autodl-tmp/outputs/idea6_repo_rerun/results/fairy_cosplayer/uqp_sched18.png,0.2586360275745392,0.2610330134630203,0.2574375346302986,3.4859,6,2,1,1,,,
fairy_cosplayer,"A female cosplayer portraying an ethereal fairy or elf, wearing a flowing dress made of delicate fabrics in emerald green and silver, in a magical forest with glowing plants, mystical creatures, serene atmosphere, ultra detailed.",uqp_sched16,16,0.26,4.0,42,42.6112,,,0.340854,-0.018586,0.692495,,/root/autodl-tmp/outputs/idea6_repo_rerun/results/fairy_cosplayer/uqp_sched16.png,0.2466502214471499,0.25228314846754074,0.2438337579369545,3.3791,6,2,1,1,,,
cyberpunk_alley,"A cinematic cyberpunk alley at night, neon reflections on wet pavement, layered signage, dense atmosphere, a lone figure in a reflective raincoat, ultra detailed, dramatic composition.",uqp_sched18,18,0.3,4.0,42,37.9952,,,0.366169,-0.0177,0.660987,,/root/autodl-tmp/outputs/idea6_repo_rerun/results/cyberpunk_alley/uqp_sched18.png,0.26993986538478304,0.28871857523918154,0.2187958061695099,3.4373,7,5,1,0,,,
cyberpunk_alley,"A cinematic cyberpunk alley at night, neon reflections on wet pavement, layered signage, dense atmosphere, a lone figure in a reflective raincoat, ultra detailed, dramatic composition.",uqp_sched16,16,0.26,4.0,42,35.6053,,,0.383727,-0.000142,0.657579,,/root/autodl-tmp/outputs/idea6_repo_rerun/results/cyberpunk_alley/uqp_sched16.png,0.27613240267549244,0.29116936326026915,0.23087374866008759,3.668,7,5,1,0,,,
snow_cabin,"A cozy wooden cabin in a snowy pine forest at blue hour, warm interior lights glowing through the windows, soft snowfall, realistic lighting, detailed landscape photography.",uqp_sched18,18,0.3,4.0,42,37.3136,,,0.36176,-0.009703,0.66132,,/root/autodl-tmp/outputs/idea6_repo_rerun/results/snow_cabin/uqp_sched18.png,0.2770763963460922,0.29488425701856613,0.2593171149492264,3.5216,5,2,1,0,,,
snow_cabin,"A cozy wooden cabin in a snowy pine forest at blue hour, warm interior lights glowing through the windows, soft snowfall, realistic lighting, detailed landscape photography.",uqp_sched16,16,0.26,4.0,42,35.651,,,0.351695,-0.019767,0.735086,,/root/autodl-tmp/outputs/idea6_repo_rerun/results/snow_cabin/uqp_sched16.png,0.2770848095417023,0.2940501421689987,0.25728732347488403,3.6859,5,2,1,0,,,
product_camera,"A premium studio product photo of a vintage silver camera on dark stone, soft rim light, sharp reflections, luxury advertising style, highly detailed.",uqp_sched18,18,0.3,4.0,42,37.2194,,,0.301452,-0.011939,0.514789,,/root/autodl-tmp/outputs/idea6_repo_rerun/results/product_camera/uqp_sched18.png,0.22815534770488738,0.23651121060053507,,3.5409,5,3,0,0,,,
product_camera,"A premium studio product photo of a vintage silver camera on dark stone, soft rim light, sharp reflections, luxury advertising style, highly detailed.",uqp_sched16,16,0.26,4.0,42,34.3968,,,0.313975,0.000584,0.486681,,/root/autodl-tmp/outputs/idea6_repo_rerun/results/product_camera/uqp_sched16.png,0.23633241951465606,0.24535313248634338,,3.8315,5,3,0,0,,,
corgi_ocean,"A joyful corgi surfing a translucent ocean wave at sunrise, dynamic splash, golden light, crisp fur detail, cinematic action photography.",uqp_sched18,18,0.3,4.0,42,36.5771,,,0.384103,-0.007537,0.576698,,/root/autodl-tmp/outputs/idea6_repo_rerun/results/corgi_ocean/uqp_sched18.png,0.25446677803993223,0.3001270070672035,,3.5879,5,2,0,0,,,
corgi_ocean,"A joyful corgi surfing a translucent ocean wave at sunrise, dynamic splash, golden light, crisp fur detail, cinematic action photography.",uqp_sched16,16,0.26,4.0,42,35.3654,,,0.399039,0.007399,0.688138,,/root/autodl-tmp/outputs/idea6_repo_rerun/results/corgi_ocean/uqp_sched16.png,0.26323665380477906,0.31092362105846405,,3.7108,5,2,0,0,,,
